algo,n,rep,hauteur,prof_feuilles,taille_gauche,time_ms
ABR,2000,11,27,15.0860,1484,0.1221
Remy,2000,12,65,37.2764,1999,25.7099
ABR,2000,12,24,13.9785,1543,0.1400
Remy,2000,13,84,38.5617,1999,22.8200
ABR,2000,13,33,15.8011,1782,0.1190
Remy,2000,14,67,36.1859,0,20.7641
ABR,2000,14,25,14.0685,694,0.1090
Remy,2000,15,53,29.6382,3,19.0940
ABR,2000,15,24,13.7781,914,0.1051
Remy,2000,16,75,30.5987,4,18.5001
ABR,2000,16,25,14.4713,1223,0.1378
Remy,2000,17,71,34.1744,1999,27.8749
ABR,2000,17,26,14.5292,1517,0.2000
Remy,2000,18,58,32.7656,0,19.1040
ABR,2000,18,25,14.8006,1613,0.0930
Remy,2000,19,57,25.3393,1971,17.3790
ABR,2000,19,22,13.6892,301,0.0911
Remy,2000,20,60,33.0905,0,17.8189
ABR,2000,20,23,13.6197,716,0.0949
Remy,2000,21,73,36.6677,1999,18.1239
ABR,2000,21,22,13.5097,495,0.1001
Remy,2000,22,75,42.3038,1998,18.5659
ABR,2000,22,24,14.7591,765,0.0970
Remy,2000,23,51,27.0095,1998,23.3991
ABR,2000,23,27,15.0540,1557,0.0951
Remy,2000,24,72,30.7976,1999,19.9339
ABR,2000,24,24,13.3283,1093,0.0920
Remy,2000,25,68,38.1614,1994,22.2452
ABR,2000,25,23,14.0730,1245,0.1450
Remy,2000,26,56,31.8676,1997,23.4008
ABR,2000,26,25,15.4023,61,0.1040
Remy,2000,27,73,32.2394,1999,18.3680
ABR,2000,27,24,14.2144,521,0.1011
Remy,2000,28,65,30.9415,0,20.2191
ABR,2000,28,27,15.4178,198,0.2100
Remy,2000,29,69,32.3838,1994,19.8028
ABR,2000,29,29,15.1964,380,0.1001
Remy,2000,30,54,29.0570,4,18.1830
ABR,2000,30,24,15.0260,1810,0.1020
Remy,2000,31,74,36.8711,1999,17.8461
ABR,2000,31,23,13.9590,423,0.0930
Remy,2000,32,63,34.8356,0,23.5491
ABR,2000,32,24,13.7466,266,0.1049
Remy,2000,33,62,29.2264,15,19.5451
ABR,2000,33,22,13.5327,1221,0.0980
Remy,2000,34,61,31.1274,1998,22.3780
ABR,2000,34,24,14.0460,1052,0.1292
Remy,2000,35,56,26.9300,0,23.7410
ABR,2000,35,23,14.0635,112,0.1049
Remy,2000,36,62,27.0920,1906,18.0299
ABR,2000,36,24,14.2879,1387,0.1011
Remy,2000,37,63,31.5952,1999,19.5382
ABR,2000,37,22,13.4938,1029,0.1090
Remy,2000,38,63,36.6402,3,20.8800
ABR,2000,38,26,15.1519,1524,0.1431
Remy,2000,39,55,31.1584,1999,28.0559
ABR,2000,39,26,13.9810,1004,0.1869
Remy,2000,40,64,35.0625,1992,27.0622
ABR,2000,40,25,14.2359,279,0.1111
Remy,2000,41,81,42.2314,0,31.3070
ABR,2000,41,23,13.5847,1113,0.1810
Remy,2000,42,61,27.6832,0,31.1558
ABR,2000,42,24,14.1124,1903,0.1001
Remy,2000,43,63,32.4463,1999,17.8559
ABR,2000,43,25,14.1224,550,0.0949
Remy,2000,44,67,35.1504,1,18.1940
ABR,2000,44,25,14.1724,534,0.0930
Remy,2000,45,64,33.8846,1999,22.6030
ABR,2000,45,26,13.7376,805,0.1221
Remy,2000,46,73,38.6697,0,18.5919
ABR,2000,46,25,14.6602,1892,0.1018
Remy,2000,47,63,34.7336,1999,20.6840
ABR,2000,47,22,13.4958,1181,0.0980
Remy,2000,48,68,34.9195,1997,17.2920
ABR,2000,48,24,13.7731,704,0.0961
Remy,2000,49,69,39.4098,1996,18.4338
ABR,2000,49,23,13.8371,1233,0.1040
Remy,2000,50,72,35.4593,1999,25.2211
ABR,2000,50,25,14.5002,84,0.1640
Remy,5000,1,77,39.7139,4986,157.2258
ABR,5000,1,30,15.8672,386,0.3109
Remy,5000,2,100,43.7880,0,157.3720
ABR,5000,2,30,16.8522,3180,0.2050
Remy,5000,3,82,35.8334,1,168.5281
ABR,5000,3,28,16.2010,2688,0.3300
Remy,5000,4,93,44.4565,4994,151.2070
ABR,5000,4,31,17.1456,39,0.5200
Remy,5000,5,80,42.4441,5,163.4359
ABR,5000,5,31,17.9384,4258,0.3450
Remy,5000,6,83,43.3007,0,153.7170
ABR,5000,6,29,15.6667,3601,0.3619
Remy,5000,7,98,40.0794,0,165.9639
ABR,5000,7,27,16.1778,880,0.2868
Remy,5000,8,93,47.0330,4997,156.1930
ABR,5000,8,28,16.6591,34,0.1791
Remy,5000,9,72,36.0350,4999,151.6712
